CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 8 is empty
CPU 9 is empty
CPU 10 is empty
CPU 11 is empty
CPU 12 is empty
CPU 13 is empty
CPU 14 is empty
CPU 15 is empty
CPU 16 is empty
CPU 17 is empty
CPU 18 is empty
CPU 19 is empty
CPU 20 is empty
CPU 21 is empty
CPU 22 is empty
CPU 23 is empty
CPU 24 is empty
CPU 27 is empty
CPU 28 is empty
CPU 30 is empty
CPU 31 is empty
cpus=32
     firecracker-1743662 [025] 1301062.226856: kvm_update_master_clock: masterclock 0 hostclock 0x1 offsetmatched 0
     firecracker-1743662 [026] 1301062.230031: kvm_cpuid:            func 1 idx cf50bd01 rax 0 rbx 0 rcx 0 rdx 0, cpuid entry not found
     firecracker-1743662 [026] 1301062.230038: kvm_write_tsc_offset: vcpu=0 prev=0 next=18442847861310018526
     firecracker-1743662 [026] 1301062.230038: kvm_track_tsc:        vcpu_id 0 masterclock 0 offsetmatched 0 nr_online 1 hostclock 0x1
     firecracker-1743662 [026] 1301062.230104: kvm_unmap_hva_range:  mmu notifier unmap range: 0x007ffff91c1000 -- 0x007ffff91c2000
     firecracker-1743662 [026] 1301062.230105: kvm_set_spte_hva:     mmu notifier set pte hva: 0x007ffff91c1000
     firecracker-1743662 [026] 1301062.230107: kvm_unmap_hva_range:  mmu notifier unmap range: 0x007ffff91c2000 -- 0x007ffff91c3000
     firecracker-1743662 [026] 1301062.230107: kvm_set_spte_hva:     mmu notifier set pte hva: 0x007ffff91c2000
     firecracker-1743662 [026] 1301062.237895: kvm_write_tsc_offset: vcpu=0 prev=18442847861310018526 next=18442847861310018526
     firecracker-1743662 [026] 1301062.237895: kvm_track_tsc:        vcpu_id 0 masterclock 0 offsetmatched 0 nr_online 1 hostclock 0x1
     firecracker-1743662 [026] 1301062.249965: kvm_unmap_hva_range:  mmu notifier unmap range: 0x007facb8000000 -- 0x007facb80c3000
       fc_vcpu 0-1743666 [029] 1301062.250080: kvm_unmap_hva_range:  mmu notifier unmap range: 0x007facb80c0000 -- 0x007facb80c1000
       fc_vcpu 0-1743666 [029] 1301062.250088: kvm_set_spte_hva:     mmu notifier set pte hva: 0x007facb80c0000
       fc_vcpu 0-1743666 [029] 1301062.250199: kvm_fpu:              load
       fc_vcpu 0-1743666 [029] 1301062.250200: kvm_fpu:              unload
       fc_vcpu 0-1743666 [029] 1301062.250202: kvm_userspace_exit:   reason KVM_EXIT_UNKNOWN (0)
       fc_vcpu 0-1743666 [029] 1301062.250209: kvm_fpu:              load
       fc_vcpu 0-1743666 [029] 1301062.250213: kvm_update_master_clock: masterclock 1 hostclock 0x1 offsetmatched 1
       fc_vcpu 0-1743666 [029] 1301062.250270: kvm_entry:            vcpu 0, rip 0x100000
